證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00933B,國泰10Y+金融債,"55,000","806,000","-751,000",0.0,0.0,0.0,0,0,0,"-7,063,335","2,000",0,"2,000","1,703,000","8,768,335","-7,065,335","-7,814,335"
00937B,群益ESG投等債20+,"637,000","53,724,000","-53,087,000",0.0,0.0,0.0,0,0,0,"-49,260,658","973,000",0,"973,000","1,558,000","51,791,658","-50,233,658","-102,347,658"
00942B,台新美A公司債20+,0,"167,000","-167,000",0.0,0.0,0.0,0,0,0,"42,770",0,0,0,"1,734,000","1,691,230","42,770","-124,230"
00948B,中信優息投資級債,"221,000","12,140,000","-11,919,000",0.0,0.0,0.0,0,0,0,"2,920,267",0,0,0,"10,838,000","7,917,733","2,920,267","-8,998,733"
00950B,凱基A級公司債,"144,000","2,530,000","-2,386,000",0.0,0.0,0.0,0,0,0,"-12,157,124",0,0,0,"574,000","12,731,124","-12,157,124","-14,543,124"
00955,中信日本商社,"446,000","29,000","417,000",0.0,0.0,0.0,0,0,0,"282,795",0,0,0,"1,724,932","1,442,137","282,795","699,795"
00957B,兆豐US優選投等債,0,"16,000","-16,000",0.0,0.0,0.0,0,0,0,"-391,170",0,0,0,"515,000","906,170","-391,170","-407,170"
00958B,永豐ESG銀行債15+,"354,000","11,000","343,000",0.0,0.0,0.0,0,0,0,"-574,334",0,0,0,"386,000","960,334","-574,334","-231,334"
00959B,大華投等美債15Y+,"78,000","882,000","-804,000",0.0,0.0,0.0,0,0,0,"3,282,000",0,0,0,"5,763,000","2,481,000","3,282,000","2,478,000"
00966B,統一ESG投等債15+,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"-979,689","2,000","1,100,000","-1,098,000","3,560,000","3,441,689","118,311","-980,689"
00967B,元大優息美債,0,"19,000","-19,000",0.0,0.0,0.0,0,0,0,"-909,311",0,0,0,"905,000","1,814,311","-909,311","-928,311"
00968B,元大優息投等債,"151,000","2,401,000","-2,250,000",0.0,0.0,0.0,0,0,0,"-3,889,201","2,000",0,"2,000",0,"3,891,201","-3,891,201","-6,139,201"
00969B,元大零息超長美債,0,"51,000","-51,000",0.0,0.0,0.0,0,0,0,"-984,716",0,0,0,"450,000","1,434,716","-984,716","-1,035,716"
00970B,新光BBB投等債20+,"268,000","2,809,000","-2,541,000",0.0,0.0,0.0,0,0,0,"-9,153,035",0,0,0,"551,000","9,704,035","-9,153,035","-11,694,035"
00980B,台新特選IG債10+,0,"461,000","-461,000",0.0,0.0,0.0,0,0,0,"301,757",0,0,0,"1,716,000","1,414,243","301,757","-159,243"
00981B,第一金優選非投債,0,0,0,0.0,0.0,0.0,0,0,0,"306,000",0,0,0,"620,000","314,000","306,000","306,000"
