代碼,名稱,領域,說明
2834,臺企銀,金融保險業,無
2836,高雄銀,金融保險業,無
2838,聯邦銀,金融保險業,無
2845,遠東銀,金融保險業,無
2849,安泰銀,金融保險業,無
2850,新產,金融保險業,無
2851,中再保,金融保險業,無
2852,第一保,金融保險業,無
2855,統一證,金融保險業,無
2867,三商壽,金融保險業,無
2880,華南金,金融保險業,無
2881,富邦金,金融保險業,無
2882,國泰金,金融保險業,無
2883,開發金,金融保險業,無
2884,玉山金,金融保險業,無
2885,元大金,金融保險業,無
2886,兆豐金,金融保險業,無
2887,台新金,金融保險業,無
2888,新光金,金融保險業,無
2889,國票金,金融保險業,無
2890,永豐金,金融保險業,無
2891,中信金,金融保險業,無
2892,第一金,金融保險業,無
2897,王道銀行,金融保險業,無
2901,欣欣,貿易百貨業,無
2903,遠百,貿易百貨業,無
2904,匯僑,其他業,無
2905,三商,貿易百貨業,無
2906,高林,貿易百貨業,無
2908,特力,貿易百貨業,無
2910,統領,貿易百貨業,無
2911,麗嬰房,貿易百貨業,無
2912,統一超,貿易百貨業,無
2913,農林,貿易百貨業,無
2915,潤泰全,貿易百貨業,無
2923,鼎固-KY,建材營造業,無
2929,淘帝-KY,貿易百貨業,無
2939,凱羿-KY,貿易百貨業,無
2945,三商家購,貿易百貨業,無
3002,歐格,電腦及週邊設備業,無
3003,健和興,電子零組件業,機器人與智慧機械
3004,豐達科,鋼鐵工業,國防產業
3005,神基,電腦及週邊設備業,國防產業
3006,晶豪科,半導體業,記憶體產業鏈/熱門股
3008,大立光,光電業,機器人與智慧機械
3010,華立,電子通路業,無
3011,今皓,電子零組件業,無
3013,晟銘電,電腦及週邊設備業,無
3014,聯陽,半導體業,智慧駕駛(ADAS/V2X)
3015,全漢,電子零組件業,無
3016,嘉晶,半導體業,功率半導體; 次世代半導體(GaN/SiC)
3017,奇鋐,電腦及週邊設備業,AI伺服器與資料中心
3018,隆銘綠能,其他電子業,無
3019,亞光,光電業,機器人與智慧機械
3021,鴻名,電子零組件業,無
3022,威強電,電腦及週邊設備業,機器人與智慧機械
3023,信邦,電子零組件業,無
3024,憶聲,光電業,無
3025,星通,通信網路業,無
3026,禾伸堂,電子零組件業,無
3027,盛達,通信網路業,無
3028,增你強,電子通路業,無
3029,零壹,資訊服務業,無
3030,德律,其他電子業,機器人與智慧機械
3031,佰鴻,光電業,無
3032,偉訓,電子零組件業,無
3033,威健,電子通路業,無
3034,聯詠,半導體業,特殊應用積體電路(ASIC)
3035,智原,半導體業,特殊應用積體電路(ASIC)
3036,文曄,電子通路業,智慧駕駛(ADAS/V2X)
3037,欣興,電子零組件業,先進封裝(CoWoS/3DIC); AI伺服器與資料中心; IC載板; 量子電腦
3038,全台,光電業,無
3040,遠見,其他業,無
3041,揚智,半導體業,無
3042,晶技,電子零組件業,無
3043,科風,其他電子業,無
3044,健鼎,電子零組件業,無
3045,台灣大,通信網路業,無
3046,建碁,電腦及週邊設備業,無
3047,訊舟,通信網路業,無
3048,益登,電子通路業,無
3049,精金,光電業,無
3050,鈺德,光電業,無
3051,力特,光電業,無
3052,夆典,建材營造業,無
3054,立萬利,食品工業,無
3055,蔚華科,電子通路業,無
3056,富華新,建材營造業,無
3057,喬鼎,電腦及週邊設備業,無
3058,立德,電子零組件業,無
3059,華晶科,光電業,智慧駕駛(ADAS/V2X)
3060,銘異,電腦及週邊設備業,無
3062,建漢,通信網路業,無
3090,日電貿,電子零組件業,AI伺服器與資料中心
3092,鴻碩,電子零組件業,無
3094,聯傑,半導體業,智慧駕駛(ADAS/V2X)
3130,一零四,數位雲端,無
3138,耀登,通信網路業,無
3149,正達,光電業,無
3164,景岳,生技醫療業,無
3167,大量,電機機械,記憶體產業鏈/熱門股
3168,眾福科,光電業,無
3189,景碩,半導體業,IC載板; 量子電腦
3209,全科,電子通路業,無
3229,晟鈦,電子零組件業,無
3231,緯創,電腦及週邊設備業,AI伺服器與資料中心
3257,虹冠電,半導體業,無
3266,昇陽,建材營造業,無
3296,勝德,電子零組件業,無
3305,昇貿,其他電子業,記憶體產業鏈/熱門股
3308,聯德,電子零組件業,無
3311,閎暉,通信網路業,無
3312,弘憶股,電子通路業,無
3321,同泰,電子零組件業,無
3338,泰碩,電子零組件業,無
3346,麗清,汽車工業,智慧駕駛(ADAS/V2X)
3356,奇偶,光電業,無
3376,新日興,電子零組件業,無
3380,明泰,通信網路業,智慧駕駛(ADAS/V2X)
3406,玉晶光,光電業,無
3413,京鼎,半導體業,無
3416,融程電,電腦及週邊設備業,國防產業
3419,譁裕,通信網路業,智慧駕駛(ADAS/V2X)
3432,台端,電子零組件業,無
3437,榮創,光電業,無
3443,創意,半導體業,特殊應用積體電路(ASIC); 量子電腦
3447,展達,通信網路業,無
3450,聯鈞,半導體業,無
3454,晶睿,光電業,無
3481,群創,光電業,智慧駕駛(ADAS/V2X)
3494,誠研,電腦及週邊設備業,無
3501,維熹,電子零組件業,無
3504,揚明光,光電業,智慧駕駛(ADAS/V2X)
3515,華擎,電腦及週邊設備業,無
3518,柏騰,其他電子業,無
3528,安馳,電子通路業,無
3530,晶相光,半導體業,無
3532,台勝科,半導體業,無
3533,嘉澤,電子零組件業,AI伺服器與資料中心
3535,晶彩科,光電業,智慧駕駛(ADAS/V2X)
3543,州巧,光電業,無
3545,敦泰,半導體業,無
3550,聯穎,電子零組件業,無
3557,嘉威,居家生活,無
3563,牧德,光電業,先進封裝(CoWoS/3DIC)
3576,聯合再生,光電業,次世代半導體(GaN/SiC)
3583,辛耘,半導體業,先進封裝(CoWoS/3DIC); 量子電腦
3588,通嘉,半導體業,無
3591,艾笛森,光電業,無
3592,瑞鼎,半導體業,無
3593,力銘,電子零組件業,無
3596,智易,通信網路業,無
3605,宏致,電子零組件業,無
3607,谷崧,電子零組件業,無
3617,碩天,其他電子業,無
3622,洋華,光電業,無
3645,達邁,電子零組件業,無
3652,精聯,電腦及週邊設備業,無
3653,健策,電子零組件業,功率半導體
3661,世芯-KY,半導體業,特殊應用積體電路(ASIC); 量子電腦
3665,貿聯-KY,其他電子業,AI伺服器與資料中心; 智慧駕駛(ADAS/V2X)
3669,圓展,通信網路業,無
3673,TPK-KY,光電業,無
3679,新至陞,電子零組件業,無
3686,達能,半導體業,功率半導體
3694,海華,通信網路業,無
3701,大眾控,電腦及週邊設備業,無
3702,大聯大,電子通路業,智慧駕駛(ADAS/V2X)
3703,欣陸,建材營造業,無
3704,合勤控,通信網路業,無
3705,永信,生技醫療業,無
3706,神達,電腦及週邊設備業,智慧駕駛(ADAS/V2X)
3708,上緯投控,綠能環保,無
3711,日月光投控,半導體業,先進封裝(CoWoS/3DIC); AI伺服器與資料中心; 量子電腦
3712,永崴投控,電腦及週邊設備業,無
3714,富采,光電業,次世代半導體(GaN/SiC)
3715,定穎投控,電子零組件業,記憶體產業鏈/熱門股
4104,佳醫,生技醫療業,無
4106,雃博,生技醫療業,無
4108,懷特,生技醫療業,無
4119,旭富,生技醫療業,無
4133,亞諾法,生技醫療業,無
4137,麗豐-KY,生技醫療業,無
4142,國光生,生技醫療業,無
4148,全宇生技-KY,生技醫療業,無
4155,訊映,生技醫療業,無
4164,承業醫,生技醫療業,無
4190,佐登-KY,生技醫療業,無
4306,炎洲,塑膠工業,無
4414,如興,紡織纖維,無
4426,利勤,紡織纖維,無
4438,廣越,紡織纖維,無
4439,冠星-KY,紡織纖維,無
4440,宜新實業,紡織纖維,無
4526,東台,電機機械,無
4532,瑞智,電機機械,無
4536,拓凱,運動休閒,國防產業
4540,全球傳動,電機機械,無
4545,銘鈺,電子零組件業,無
4551,智伸科,汽車工業,無
4552,力達-KY,電機機械,無
4555,氣立,電機機械,無
4557,永新-KY,汽車工業,無
4560,強信-KY,電機機械,無
4562,穎漢,電機機械,機器人與智慧機械
4564,元翎,電機機械,無
4566,時碩工業,電機機械,無
4569,六方科-KY,汽車工業,無
4571,鈞興-KY,電機機械,無
4572,駐龍,電機機械,無
4576,大銀微系統,電機機械,機器人與智慧機械
4581,光隆精密-KY,汽車工業,無
4583,台灣精銳,電機機械,無
4588,玖鼎電力,其他電子業,無
4720,德淵,化學工業,無
4722,國精化,化學工業,無
4736,泰博,生技醫療業,無
4737,華廣,生技醫療業,無
4739,康普,化學工業,無
4746,台耀,生技醫療業,無
4755,三福化,化學工業,無
4763,材料-KY,化學工業,無
4764,雙鍵,化學工業,無
4766,南寶,化學工業,無
4770,上品,化學工業,無
4771,望隼,生技醫療業,無
4807,日成-KY,貿易百貨業,無
4904,遠傳,通信網路業,智慧駕駛(ADAS/V2X)
4906,正文,通信網路業,記憶體產業鏈/熱門股
4912,聯德控股-KY,電子零組件業,無
4915,致伸,電子零組件業,無
4916,事欣科,電腦及週邊設備業,國防產業
4919,新唐,半導體業,智慧駕駛(ADAS/V2X)
4927,泰鼎-KY,電子零組件業,無
4930,燦星網,電器電纜,無
4934,太極,光電業,次世代半導體(GaN/SiC)
4935,茂林-KY,光電業,無
4938,和碩,電腦及週邊設備業,無
4942,嘉彰,光電業,無
4943,康控-KY,電子零組件業,無
4949,有成精密,光電業,無
4952,凌通,半導體業,無
4956,光鋐,光電業,無
4958,臻鼎-KY,電子零組件業,IC載板
4960,誠美材,光電業,無
4961,天鈺,半導體業,無
4967,十銓,半導體業,記憶體產業鏈/熱門股
4968,立積,半導體業,無
4976,佳凌,光電業,智慧駕駛(ADAS/V2X)
4977,眾達-KY,通信網路業,記憶體產業鏈/熱門股
4989,榮科,電子零組件業,記憶體產業鏈/熱門股
4994,傳奇,資訊服務業,無
4999,鑫禾,電子零組件業,無
5007,三星,鋼鐵工業,無
5203,訊連,資訊服務業,無
5215,科嘉-KY,電腦及週邊設備業,無
